cluster,median_demand,median_idle,demand_ratio_vs_sarjapur,idle_ratio_vs_sarjapur,demand_classification,idle_classification
sarjapur,78.0,16.0,1.0,1.0,"40.0, 75.0, 150.0","5.0, 15.0, 40.0"
whitefield 1,75.0,11.0,0.962,0.688,"38.46, 72.12, 144.23","3.44, 10.31, 27.5"
varthur,67.5,43.0,0.865,2.688,"34.62, 64.9, 129.81","13.44, 40.31, 107.5"
bellandur,66.0,6.0,0.846,0.375,"33.85, 63.46, 126.92","1.88, 5.62, 15.0"
electronic city 1,63.0,13.0,0.808,0.812,"32.31, 60.58, 121.15","4.06, 12.19, 32.5"
hongasandra,62.5,41.5,0.801,2.594,"32.05, 60.1, 120.19","12.97, 38.91, 103.75"
whitefield 3,58.0,31.5,0.744,1.969,"29.74, 55.77, 111.54","9.84, 29.53, 78.75"
munnekollal,54.0,99.0,0.692,6.188,"27.69, 51.92, 103.85","30.94, 92.81, 247.5"
segehalli,53.0,19.0,0.679,1.188,"27.18, 50.96, 101.92","5.94, 17.81, 47.5"
yelahanka,51.5,13.5,0.66,0.844,"26.41, 49.52, 99.04","4.22, 12.66, 33.75"
kudlu,45.0,25.5,0.577,1.594,"23.08, 43.27, 86.54","7.97, 23.91, 63.75"
yeswanthpur,42.5,111.5,0.545,6.969,"21.79, 40.87, 81.73","34.84, 104.53, 278.75"
singasandra,41.0,18.0,0.526,1.125,"21.03, 39.42, 78.85","5.62, 16.88, 45.0"
hulimavu,29.0,10.0,0.372,0.625,"14.87, 27.88, 55.77","3.12, 9.38, 25.0"
hoodi,29.0,6.0,0.372,0.375,"14.87, 27.88, 55.77","1.88, 5.62, 15.0"
nagasandra,28.0,157.0,0.359,9.812,"14.36, 26.92, 53.85","49.06, 147.19, 392.5"
devarabisanahalli,21.0,3.0,0.269,0.188,"10.77, 20.19, 40.38","0.94, 2.81, 7.5"
whitefield 2,20.5,10.5,0.263,0.656,"10.51, 19.71, 39.42","3.28, 9.84, 26.25"
koramangala,20.0,8.0,0.256,0.5,"10.26, 19.23, 38.46","2.5, 7.5, 20.0"
marathahalli,17.0,8.0,0.218,0.5,"8.72, 16.35, 32.69","2.5, 7.5, 20.0"
brookefield,17.0,5.0,0.218,0.312,"8.72, 16.35, 32.69","1.56, 4.69, 12.5"
indiranagar,14.0,17.0,0.179,1.062,"7.18, 13.46, 26.92","5.31, 15.94, 42.5"
electronic city 2,13.5,13.0,0.173,0.812,"6.92, 12.98, 25.96","4.06, 12.19, 32.5"
hebbal,10.0,22.0,0.128,1.375,"5.13, 9.62, 19.23","6.88, 20.62, 55.0"
hsr,8.5,0.5,0.109,0.031,"4.36, 8.17, 16.35","0.16, 0.47, 1.25"
tejaswini nagar,7.5,18.5,0.096,1.156,"3.85, 7.21, 14.42","5.78, 17.34, 46.25"
bagaluru prod test,3.0,0.0,0.038,0.0,"1.54, 2.88, 5.77","0.0, 0.0, 0.0"
mahadevapura,3.0,10.0,0.038,0.625,"1.54, 2.88, 5.77","3.12, 9.38, 25.0"
mahalakshmi,1.0,9.5,0.013,0.594,"0.51, 0.96, 1.92","2.97, 8.91, 23.75"
thannisandra,0.0,0.0,0.0,0.0,"0.0, 0.0, 0.0","0.0, 0.0, 0.0"
rayasandra,0.0,2.5,0.0,0.156,"0.0, 0.0, 0.0","0.78, 2.34, 6.25"
hennur,0.0,0.0,0.0,0.0,"0.0, 0.0, 0.0","0.0, 0.0, 0.0"
