nano_market,cluster,hotspot_name,latitude,longitude,Demand near hotspot,Idle near hotspot,Demand near hotspot (Y/N),Idle near hotspot (Y/N),Demand category,Idle category,Avg idle time near hotspot
mantri webcity,thannisandra,webcity,13.07119,77.64745,0,0,No,No,No,No,0.0
jindal city,nagasandra,chikkabidarakallu metro,13.05256,77.48794,158,176,Yes,Yes,Yes,Yes,1.05
thimmasandra gardens,bagaluru prod test,bagalur bamboo forest,13.11479,77.72305,0,0,No,No,No,No,0.0
7th block,koramangala,7th block devi park,12.93707,77.61852,32,26,Yes,Yes,No,Moderate,1.12
dnr atmosphere,whitefield 3,dnr atmosphere,12.96143,77.74205,141,41,Yes,Yes,Moderate,Yes,1.0
cosmopolis,whitefield 3,cosmopolis,12.96282,77.74812,87,56,Yes,Yes,Moderate,Yes,1.21
shanthi garden,segehalli,shanthi ds max,13.00715,77.76275,181,26,Yes,Yes,Yes,Moderate,1.0
hope farm jn.,whitefield 2,hope farm jn.,12.98236,77.75791,88,51,Yes,Yes,Moderate,Yes,1.12
mhyna heights,varthur,habitat greens,12.92984,77.73997,131,431,Yes,Yes,Moderate,Yes,1.74
manipal county,singasandra,manipal county road,12.87382,77.64271,72,84,Yes,Yes,Sparse,Yes,1.01
spectra amrutha,whitefield 3,amruth dan layout,12.96343,77.73315,182,31,Yes,Yes,Yes,Moderate,0.97
siddapura,sarjapur,siddapura thomas layout,12.90047,77.70286,136,27,Yes,Yes,Moderate,Moderate,1.04
arekera,hulimavu,mahindra windchimes,12.8874,77.59709,44,15,Yes,Yes,Sparse,Moderate,1.0
suncity gloria,sarjapur,suncity gloria gate,12.90271,77.70679,107,47,Yes,Yes,Moderate,Yes,1.11
devarabisanahalli,devarabisanahalli,devarabisanahalli,12.9247668,77.6948782,48,5,Yes,Yes,Sparse,Sparse,1.0
amblipura trinity,sarjapur,trinity hs2,12.91546,77.6699,75,2,Yes,Yes,Moderate,No,1.0
genesis apartments,bellandur,genesis apartments hs,12.922566,77.663933,41,123,Yes,Yes,Sparse,Yes,1.08
fountain square,munnekollal,fountain cult gym,12.95667,77.70893,55,138,Yes,Yes,Sparse,Yes,0.99
embassy pristine,bellandur,embassy pristine hs,12.92662,77.66275,80,7,Yes,Yes,Moderate,Sparse,1.0
sobha jasmine,bellandur,sobha jasmine hs,12.927212,77.669396,201,17,Yes,Yes,Yes,Moderate,1.0
thubarahalli,munnekollal,thubarahalli brentwood,12.95053,77.71758,177,74,Yes,Yes,Yes,Yes,0.95
itpl hoodi,hoodi,hoodi metro station,12.98897,77.71255,76,11,Yes,Yes,Moderate,Sparse,1.0
green house layout,electronic city 1,green house layout hs1,12.85222,77.6491,32,51,Yes,Yes,No,Yes,1.14
puspha forest,bagaluru prod test,bda,12.9133788,77.6381169,1,0,Yes,No,No,No,0.0
4th block koramangala,koramangala,4th block koramangala hs,12.93244,77.62882,53,6,Yes,Yes,Sparse,Sparse,0.83
prestige garden bay,yelahanka,vaishnavi serene,13.12545,77.56824,0,9,No,Yes,No,Sparse,1.0
greenage juniper,hongasandra,greenage gate,12.90254,77.63117,132,48,Yes,Yes,Moderate,Yes,0.96
panathur,varthur,panathur hs1,12.9359,77.71022,37,21,Yes,Yes,No,Moderate,1.0
prestige kew gardens,marathahalli,kew hs,12.94568,77.67671,271,14,Yes,Yes,Yes,Sparse,1.14
godrej e-city,electronic city 1,godrej e-city hs,12.84853,77.65278,54,42,Yes,Yes,Sparse,Yes,1.0
parkway homes,rayasandra,parkway homes hs,12.86841,77.68659,72,82,Yes,Yes,Sparse,Yes,1.02
avantika gardens,bagaluru prod test,urbanvault hsr,12.9184962,77.6451342,24,2,Yes,Yes,No,No,1.0
owners court 1,sarjapur,court1 play arena,12.91157,77.67662,78,49,Yes,Yes,Moderate,Yes,0.98
concorde midway,singasandra,concorde midway city,12.86629,77.65186,27,18,Yes,Yes,No,Moderate,1.06
diamond district,indiranagar,diamond district,12.96038,77.64143,35,38,Yes,Yes,No,Moderate,1.0
sai meadows kudlu,kudlu,sai meadows kudlu,12.88523,77.6522,64,25,Yes,Yes,Sparse,Moderate,1.24
orchid lakeview,bellandur,orchid lakeview hs,12.93107,77.67578,27,8,Yes,Yes,No,Sparse,1.0
iti layout kudlu,kudlu,iti layout kudlu,12.90047,77.64161,168,108,Yes,Yes,Yes,Yes,1.0
divaysree 77,marathahalli,divyasree 77 hs,12.94855,77.69239,58,10,Yes,Yes,Sparse,Sparse,2.7
btr garden kudlu,kudlu,btr garden kudlu,12.88954,77.64847,108,72,Yes,Yes,Moderate,Yes,1.39
sector 4 hsr,hsr,sector 4 park,12.91482,77.64226,2,0,Yes,No,No,No,0.0
sumadhura eden gardens,segehalli,sumadhura aspire aurum,13.02798,77.74977,131,38,Yes,Yes,Moderate,Moderate,2.21
chinappa layout,varthur,chinappa layout hs,12.93854,77.74488,22,10,Yes,Yes,No,Sparse,1.3
kudlu road,hsr,kudlu,12.89423,77.65081,22,5,Yes,Yes,No,Sparse,1.0
garudacharpalya,mahadevapura,garudacharpalya metro,12.9934,77.70316,29,45,Yes,Yes,No,Yes,1.0
mana capitol,sarjapur,mana capitol,12.900477467293431,77.70315795691867,144,26,Yes,Yes,Moderate,Moderate,1.04
sobha dream gardens,thannisandra,raga town,13.09682,77.64745,0,0,No,No,No,No,0.0
godrej avenues,yelahanka,godrej avenues hs,13.14592,77.56967,111,33,Yes,Yes,Moderate,Moderate,2.58
sector 6 hsr,hsr,sector 6 hsr 9th main rd,12.91472,77.63519,2,0,Yes,No,No,No,0.0
sector 7 hsr,hsr,sector 7 serenity hsr,12.90705,77.63252,42,17,Yes,Yes,Sparse,Moderate,1.0
ajmera infinity,electronic city 1,concorde manhattan,12.84006,77.64989,179,58,Yes,Yes,Yes,Yes,1.0
sjr/bren/owners court new,sarjapur,chaai restro,12.900333002818511,77.67553579999999,184,32,Yes,Yes,Yes,Moderate,0.97
owners court 3,sarjapur,court3 grr serenity,12.90479,77.6789,153,7,Yes,Yes,Yes,Sparse,0.71
gopalan aqua,whitefield 2,gopalan springdale road,12.97656,77.75748,122,52,Yes,Yes,Moderate,Yes,1.04
victorian view,whitefield 1,borewell road,12.96911,77.73972,194,75,Yes,Yes,Yes,Yes,0.97
doddanekkundi,mahadevapura,doddanekkudi durga petals,12.97446,77.69808,0,0,No,No,No,No,0.0
1st block koramangala,koramangala,1st block hs1,12.92951,77.6334,48,36,Yes,Yes,Sparse,Moderate,1.28
purvi symphony,varthur,purvi symphony hs,12.92173,77.73665,220,66,Yes,Yes,Yes,Yes,1.02
green life,varthur,green life,12.92556,77.72805,65,17,Yes,Yes,Sparse,Moderate,1.0
prakruthi solitaire,electronic city 2,prakruthi vishal mega mart,12.83552,77.69155,32,21,Yes,Yes,No,Moderate,1.0
prestige nexus shantiniketan,hoodi,prestige shantiniketan hs,12.98914,77.72692,12,53,Yes,Yes,No,Yes,0.98
purva westend,kudlu,westend kudlu metro station,12.88991,77.63883,225,30,Yes,Yes,Yes,Moderate,0.97
prestige sunrise,electronic city 1,neotown rd,12.8343,77.66416,170,82,Yes,Yes,Yes,Yes,1.76
krishna layout,hulimavu,begur hulimavu rd,12.87725,77.60407,0,0,No,No,No,No,0.0
infinite city,electronic city 1,cattery homes,12.81836,77.66534,148,49,Yes,Yes,Moderate,Yes,1.04
kannamangala,segehalli,kannamangala,13.01945,77.76232,178,80,Yes,Yes,Yes,Yes,1.08
100 feet road,indiranagar,100 feet bbmp park,12.96833,77.63855,19,1,Yes,Yes,No,No,1.0
astro maison,sarjapur,astro mantri premero,12.90765,77.69375,0,0,No,No,No,No,0.0
nyanappanahalli,hulimavu,paramount shravanthi,12.88004,77.61601,52,44,Yes,Yes,Sparse,Yes,1.09
snn raj grandeur,hongasandra,snn raj grandeur hs,12.90017,77.62246,99,86,Yes,Yes,Moderate,Yes,1.07
house of hiranandani,hulimavu,hiranandani gate,12.87633,77.61165,30,11,Yes,Yes,No,Sparse,1.0
song of south,tejaswini nagar,begur koppa road,12.86112,77.61326,31,27,Yes,Yes,No,Moderate,1.19
govinda palya,electronic city 2,govindapalya bmtc depot,12.84665,77.67257,0,7,No,Yes,No,Sparse,1.14
salarpuria new 1,sarjapur,keerthi regalia,12.91053,77.68496,172,57,Yes,Yes,Yes,Yes,1.0
godrej tumkur,nagasandra,14th avenue,13.05002,77.48938,1,1,Yes,Yes,No,No,1.0
